Year,Value
31-Mar-03,6
31-Mar-04,2
31-Mar-05,3
31-Mar-06,5
31-Mar-07,5
30-Jun-07,7
30-Sep-07,7
31-Dec-07,6
31-Mar-08,3
30-Jun-08,1
30-Sep-08,0
31-Dec-08,0
31-Mar-09,1
30-Jun-09,2
30-Sep-09,2
31-Dec-09,3
31-Mar-10,3
30-Jun-10,2
30-Sep-10,3
31-Dec-10,2
31-Mar-11,2
30-Jun-11,2
30-Sep-11,2
31-Dec-11,2
31-Mar-12,1
30-Jun-12,1
30-Sep-12,0
31-Dec-12,0
31-Mar-13,0
30-Jun-13,0
30-Sep-13,0
31-Dec-13,0
31-Mar-14,0
30-Jun-14,0
30-Sep-14,2
31-Dec-14,4
31-Mar-15,5
30-Jun-15,5
30-Sep-15,3
31-Dec-15,1
31-Mar-16,0
30-Jun-16,0
30-Sep-16,1
31-Dec-16,2
31-Mar-17,2
30-Jun-17,3
30-Sep-17,4
31-Dec-17,3
31-Mar-18,5
30-Jun-18,5
30-Sep-18,4
31-Dec-18,3
,
