Year,Offence,Value
31-Mar-03,Sexual offences,196
31-Mar-04,Sexual offences,197
31-Mar-05,Sexual offences,189
31-Mar-06,Sexual offences,179
31-Mar-07,Sexual offences,118
30-Jun-07,Sexual offences,120
30-Sep-07,Sexual offences,112
31-Dec-07,Sexual offences,113
31-Mar-08,Sexual offences,121
30-Jun-08,Sexual offences,125
30-Sep-08,Sexual offences,127
31-Dec-08,Sexual offences,113
31-Mar-09,Sexual offences,114
30-Jun-09,Sexual offences,103
30-Sep-09,Sexual offences,96
31-Dec-09,Sexual offences,100
31-Mar-10,Sexual offences,87
30-Jun-10,Sexual offences,87
30-Sep-10,Sexual offences,82
31-Dec-10,Sexual offences,94
31-Mar-11,Sexual offences,114
30-Jun-11,Sexual offences,119
30-Sep-11,Sexual offences,138
31-Dec-11,Sexual offences,136
31-Mar-12,Sexual offences,124
30-Jun-12,Sexual offences,123
30-Sep-12,Sexual offences,124
31-Dec-12,Sexual offences,119
31-Mar-13,Sexual offences,124
30-Jun-13,Sexual offences,139
30-Sep-13,Sexual offences,132
31-Dec-13,Sexual offences,139
31-Mar-14,Sexual offences,155
30-Jun-14,Sexual offences,155
30-Sep-14,Sexual offences,180
31-Dec-14,Sexual offences,209
31-Mar-15,Sexual offences,241
30-Jun-15,Sexual offences,275
30-Sep-15,Sexual offences,276
31-Dec-15,Sexual offences,267
31-Mar-16,Sexual offences,260
30-Jun-16,Sexual offences,253
30-Sep-16,Sexual offences,265
31-Dec-16,Sexual offences,298
31-Mar-17,Sexual offences,321
30-Jun-17,Sexual offences,306
30-Sep-17,Sexual offences,314
31-Dec-17,Sexual offences,326
31-Mar-18,Sexual offences,311
30-Jun-18,Sexual offences,370
30-Sep-18,Sexual offences,395
31-Dec-18,Sexual offences,390
31-Mar-03,Stalking and harassment,17
31-Mar-04,Stalking and harassment,22
31-Mar-05,Stalking and harassment,71
31-Mar-06,Stalking and harassment,148
31-Mar-07,Stalking and harassment,84
30-Jun-07,Stalking and harassment,79
30-Sep-07,Stalking and harassment,77
31-Dec-07,Stalking and harassment,75
31-Mar-08,Stalking and harassment,72
30-Jun-08,Stalking and harassment,67
30-Sep-08,Stalking and harassment,72
31-Dec-08,Stalking and harassment,75
31-Mar-09,Stalking and harassment,67
30-Jun-09,Stalking and harassment,62
30-Sep-09,Stalking and harassment,52
31-Dec-09,Stalking and harassment,52
31-Mar-10,Stalking and harassment,51
30-Jun-10,Stalking and harassment,55
30-Sep-10,Stalking and harassment,57
31-Dec-10,Stalking and harassment,54
31-Mar-11,Stalking and harassment,72
30-Jun-11,Stalking and harassment,69
30-Sep-11,Stalking and harassment,63
31-Dec-11,Stalking and harassment,58
31-Mar-12,Stalking and harassment,54
30-Jun-12,Stalking and harassment,63
30-Sep-12,Stalking and harassment,68
31-Dec-12,Stalking and harassment,69
31-Mar-13,Stalking and harassment,56
30-Jun-13,Stalking and harassment,50
30-Sep-13,Stalking and harassment,47
31-Dec-13,Stalking and harassment,46
31-Mar-14,Stalking and harassment,52
30-Jun-14,Stalking and harassment,60
30-Sep-14,Stalking and harassment,93
31-Dec-14,Stalking and harassment,139
31-Mar-15,Stalking and harassment,177
30-Jun-15,Stalking and harassment,225
30-Sep-15,Stalking and harassment,269
31-Dec-15,Stalking and harassment,380
31-Mar-16,Stalking and harassment,495
