Year,Observation Status,Unit multiplier,Unit measure,Value
2002,Undefined,Units,Percentage (%),6.1
2003,Undefined,Units,Percentage (%),5.7
2004,Undefined,Units,Percentage (%),7.1
2005,Undefined,Units,Percentage (%),8
2006,Undefined,Units,Percentage (%),7.5
2007,Undefined,Units,Percentage (%),6.1
2008,Undefined,Units,Percentage (%),4
2009,Undefined,Units,Percentage (%),3
2010,Undefined,Units,Percentage (%),2.7
2011,Undefined,Units,Percentage (%),3
2012,Undefined,Units,Percentage (%),3
2013,Undefined,Units,Percentage (%),2.9
2014,Undefined,Units,Percentage (%),2.8
2015,Undefined,Units,Percentage (%),2.9
2016,Undefined,Units,Percentage (%),3.3
2017,Undefined,Units,Percentage (%),3.5
2018,Undefined,Units,Percentage (%),3.6
2019,Undefined,Units,Percentage (%),3.2
