Year,Type of Disease,Sex,Value
2002,Cardiovascular diseases,,166.4
2003,Cardiovascular diseases,,151.4
2004,Cardiovascular diseases,,139.7
2005,Cardiovascular diseases,,136.1
2006,Cardiovascular diseases,,131.1
2007,Cardiovascular diseases,,130.1
2008,Cardiovascular diseases,,122.1
2009,Cardiovascular diseases,,115.5
2010,Cardiovascular diseases,,97.7
2011,Cardiovascular diseases,,89.1
2012,Cardiovascular diseases,,86.8
2013,Cardiovascular diseases,,91.4
2014,Cardiovascular diseases,,93.8
2015,Cardiovascular diseases,,90.8
2016,Cardiovascular diseases,,89.4
2017,Cardiovascular diseases,,85.8
2018,Cardiovascular diseases,,92.1
2002,Cardiovascular diseases,Male,232.1
2003,Cardiovascular diseases,Male,218.8
2004,Cardiovascular diseases,Male,195.7
2005,Cardiovascular diseases,Male,186.2
2006,Cardiovascular diseases,Male,175.1
2007,Cardiovascular diseases,Male,175.5
2008,Cardiovascular diseases,Male,164.4
2009,Cardiovascular diseases,Male,155.3
2010,Cardiovascular diseases,Male,132.7
2011,Cardiovascular diseases,Male,125
2012,Cardiovascular diseases,Male,125.7
2013,Cardiovascular diseases,Male,129.8
2014,Cardiovascular diseases,Male,131.1
2015,Cardiovascular diseases,Male,125.6
2016,Cardiovascular diseases,Male,127.8
2017,Cardiovascular diseases,Male,114.5
2018,Cardiovascular diseases,Male,120.6
2002,Cardiovascular diseases,Female,106.1
2003,Cardiovascular diseases,Female,89.2
2004,Cardiovascular diseases,Female,87.7
2005,Cardiovascular diseases,Female,89
2006,Cardiovascular diseases,Female,89.7
2007,Cardiovascular diseases,Female,87.4
2008,Cardiovascular diseases,Female,82.5
2009,Cardiovascular diseases,Female,78
2010,Cardiovascular diseases,Female,64.6
2011,Cardiovascular diseases,Female,55.2
2012,Cardiovascular diseases,Female,50.2
2013,Cardiovascular diseases,Female,55.1
2014,Cardiovascular diseases,Female,58.7
2015,Cardiovascular diseases,Female,57.9
2016,Cardiovascular diseases,Female,53
2017,Cardiovascular diseases,Female,58.4
2018,Cardiovascular diseases,Female,64.9
2002,Cancer,,196.8
2003,Cancer,,182.2
2004,Cancer,,181.5
2005,Cancer,,172.5
2006,Cancer,,176.7
2007,Cancer,,170.8
2008,Cancer,,175.9
