Year,Cause,Sex,Value
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,5
2014,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,0
2015,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,5
2016,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,0
2017,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,5
2018,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,0
2019,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,0
2020,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,5
2013,A04 Other bacterial intestinal infections,,0
2014,A04 Other bacterial intestinal infections,,0
2015,A04 Other bacterial intestinal infections,,0
2016,A04 Other bacterial intestinal infections,,5
2017,A04 Other bacterial intestinal infections,,0
2018,A04 Other bacterial intestinal infections,,5
2019,A04 Other bacterial intestinal infections,,0
2020,A04 Other bacterial intestinal infections,,0
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,5
2014,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,0
2015,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,5
2016,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,0
2017,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,5
2018,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,0
2019,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,0
2020,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,5
2013,A04 Other bacterial intestinal infections,Female,0
2014,A04 Other bacterial intestinal infections,Female,0
2015,A04 Other bacterial intestinal infections,Female,0
2016,A04 Other bacterial intestinal infections,Female,5
2017,A04 Other bacterial intestinal infections,Female,0
2018,A04 Other bacterial intestinal infections,Female,5
2019,A04 Other bacterial intestinal infections,Female,0
2020,A04 Other bacterial intestinal infections,Female,0
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,0
2014,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,0
2015,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,0
2016,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,0
2017,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,0
2018,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,0
2019,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,0
2020,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,0
2013,A04 Other bacterial intestinal infections,Male,0
2014,A04 Other bacterial intestinal infections,Male,0
2015,A04 Other bacterial intestinal infections,Male,0
2016,A04 Other bacterial intestinal infections,Male,0
2017,A04 Other bacterial intestinal infections,Male,0
2018,A04 Other bacterial intestinal infections,Male,0
2019,A04 Other bacterial intestinal infections,Male,0
2020,A04 Other bacterial intestinal infections,Male,0
