Year,Units,Subject,Value
2015/16,Key Stage 1 (%),Reading,67
2015/16,Key Stage 1 (%),Maths,68
2016/17,Key Stage 1 (%),Reading,72
2016/17,Key Stage 1 (%),Maths,71
2017/18,Key Stage 1 (%),Reading,73
2017/18,Key Stage 1 (%),Maths,75
2018/19,Key Stage 1 (%),Reading,74
2018/19,Key Stage 1 (%),Maths,75
2015/16,Key Stage 2 (%),Reading,65
2015/16,Key Stage 2 (%),Maths,71
2016/17,Key Stage 2 (%),Reading,76
2016/17,Key Stage 2 (%),Maths,73
2017/18,Key Stage 2 (%),Reading,74
2017/18,Key Stage 2 (%),Maths,74
2018/19,Key Stage 2 (%),Reading,66
2018/19,Key Stage 2 (%),Maths,66
