Year,Gender,Learning Category,Learning sub-category (higher),Learning sub-category (lower),Value
2013,All,Prime Areas Of Learning,,,67.4
2013,All,Prime Areas Of Learning,Communication and Language,,72.7
2013,All,Prime Areas Of Learning,Communication and Language,1: Listening and Attention,61.8
2013,All,Prime Areas Of Learning,Communication and Language,2: Understanding,63.9
2013,All,Prime Areas Of Learning,Communication and Language,3: Speaking,64.7
2013,All,Prime Areas Of Learning,Physical Development,,81.2
2013,All,Prime Areas of Learning,Physical Development,4: Moving and Handling,71.8
2013,All,Prime Areas Of Learning,Physical Development,5: Health and self-care,74.7
2013,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",,76.7
2013,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",6: Self-confidence and self-awareness,72.1
2013,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,72.6
2013,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",8: Making Relationships,73.3
2013,All,Prime Areas Of Learning,,,55.9
2013,All,Prime Areas Of Learning,Literacy,,55.9
2013,All,Specific Areas Of Learning,Literacy,9: Reading,63.4
2013,All,Specific Areas Of Learning,Literacy,10: Writing,54.2
2013,All,Specific Areas Of Learning,Mathematics,,55.2
2013,All,Specific Areas Of Learning,Mathematics,11: Numbers,67.1
2013,All,Specific Areas Of Learning,Mathematics,"12: Shape, space and measures",59.4
2013,All,Specific Areas Of Learning,Understanding the World,,66.7
2013,All,Specific Areas Of Learning,Understanding the World,13: People and Communities,75.9
2013,All,Specific Areas Of Learning,Understanding the World,14: The World,74
2013,All,Specific Areas Of Learning,Understanding the World,15: Technology ,74.2
2013,All,Specific Areas Of Learning,Expressive arts and design,,80.2
2013,All,Specific Areas Of Learning,Expressive arts and design,16: exploring and using media and materials,75.8
2013,All,Specific Areas Of Learning,Expressive arts and design,17: being imaginative,72.2
2013,Girls,Prime Areas Of Learning,,,75.2
2013,Girls,Prime Areas Of Learning,Communication and Language,,79.4
