Year,Value
31 03 2003,6
31 03 2004,2
31 03 2005,3
31 03 2006,5
31 03 2007,5
30 06 2007,7
30 09 2007,7
31 12 2007,6
31 03 2008,3
30 06 2008,1
30 09 2008,0
31 12 2008,0
31 03 2009,1
30 06 2009,2
30 09 2009,2
31 12 2009,3
31 03 2010,3
30 06 2010,2
30 09 2010,3
31 12 2010,2
31 03 2011,2
30 06 2011,2
30 09 2011,2
31 12 2011,2
31 03 2012,1
30 06 2012,1
30 09 2012,0
31 12 2012,0
31 03 2013,0
30 06 2013,0
30 09 2013,0
31 12 2013,0
31 03 2014,0
30 06 2014,0
30 09 2014,2
31 12 2014,4
31 03 2015,5
30 06 2015,5
30 09 2015,3
31 12 2015,1
31 03 2016,0
30 06 2016,0
30 09 2016,1
31 12 2016,2
31 03 2017,2
30 06 2017,3
30 09 2017,4
31 12 2017,3
31 03 2018,5
30 06 2018,5
30 09 2018,4
31 12 2018,3
