Year,Type,Average,Value
2021,Work,Median,-9.7
2021,Work,Mean,1.0
2021,Home,Median,16.1
2021,Home,Mean,14.6
2020,Work,Median,4.9
2020,Work,Mean,-0.4
2020,Home,Median,11.2
2020,Home,Mean,3.7
2019,Work,Median,18.0
2019,Work,Mean,10.9
2019,Home,Median,18.2
2019,Home,Mean,11.4
2018,Work,Median,20.6
2018,Work,Mean,22.0
2018,Home,Median,15.6
2018,Home,Mean,13.2
2017,Work,Median,9.2
2017,Work,Mean,9.0
2017,Home,Median,13.5
2017,Home,Mean,14.5
2016,Work,Median,20.2
2016,Work,Mean,12.4
2016,Home,Median,12.7
2016,Home,Mean,13.0
2015,Work,Median,13.9
2015,Work,Mean,4.0
2015,Home,Median,10.2
2015,Home,Mean,8.0
2014,Work,Median,-2.5
2014,Work,Mean,0.0
2014,Home,Median,3.9
2014,Home,Mean,7.5
2013,Work,Median,1.5
2013,Work,Mean,2.1
2013,Home,Median,10.3
2013,Home,Mean,9.5
2012,Work,Median,3.0
2012,Work,Mean,5.1
2012,Home,Median,5.3
2012,Home,Mean,4.3
2011,Work,Median,0.7
2011,Work,Mean,4.9
2011,Home,Median,1.5
2011,Home,Mean,8.0
2010,Work,Median,0.5
2010,Work,Mean,2.6
2010,Home,Median,9.3
2010,Home,Mean,14.6
2009,Work,Median,-1.7
2009,Work,Mean,2.3
2009,Home,Median,6.5
2009,Home,Mean,10.2
2008,Work,Median,15.6
2008,Work,Mean,9.0
2008,Home,Median,5.0
2008,Home,Mean,10.7
2007,Work,Median,17.3
2007,Work,Mean,18.7
2007,Home,Median,8.1
2007,Home,Mean,9.3
2006,Work,Median,17.2
2006,Work,Mean,15.4
2006,Home,Median,7.3
2006,Home,Mean,5.4
2005,Work,Median,14.1
2005,Work,Mean,18.0
2005,Home,Median,12.8
2005,Home,Mean,7.0
2004,Work,Median,15.0
2004,Work,Mean,16.3
2004,Home,Median,11.3
2004,Home,Mean,5.4
2003,Work,Median,15.0
2003,Work,Mean,16.3
2003,Home,Median,11.3
2003,Home,Mean,5.4
2002,Work,Median,18.0
2002,Work,Mean,0.0
2002,Home,Median,9.9
2002,Home,Mean,10.7
2001,Work,Median,10.8
2001,Work,Mean,0.0
2000,Work,Median,9.6
2000,Work,Mean,25.3
1999,Work,Median,12.3
1999,Work,Mean,25.4
1998,Work,Median,14.3
1998,Work,Mean,20.0
1997,Work,Median,8.3
1997,Work,Mean,3.4
