Year,Type,Value
1998,Accommodation and food services,53
1999,Accommodation and food services,57
2000,Accommodation and food services,57
2001,Accommodation and food services,62
2002,Accommodation and food services,64
2003,Accommodation and food services,71
2004,Accommodation and food services,69
2005,Accommodation and food services,69
2006,Accommodation and food services,77
2007,Accommodation and food services,73
2008,Accommodation and food services,76
2009,Accommodation and food services,70
2010,Accommodation and food services,73
2011,Accommodation and food services,76
2012,Accommodation and food services,70
2013,Accommodation and food services,73
2014,Accommodation and food services,75
2015,Accommodation and food services,68
2016,Accommodation and food services,69
2017,Accommodation and food services,69
2018,Accommodation and food services,73
2019,Accommodation and food services,69
1998,"Arts, Entertainment and recreation",40
1999,"Arts, Entertainment and recreation",36
2000,"Arts, Entertainment and recreation",35
2001,"Arts, Entertainment and recreation",35
2002,"Arts, Entertainment and recreation",33
2003,"Arts, Entertainment and recreation",39
2004,"Arts, Entertainment and recreation",39
2005,"Arts, Entertainment and recreation",43
2006,"Arts, Entertainment and recreation",43
2007,"Arts, Entertainment and recreation",38
2008,"Arts, Entertainment and recreation",39
2009,"Arts, Entertainment and recreation",39
2010,"Arts, Entertainment and recreation",41
2011,"Arts, Entertainment and recreation",43
2012,"Arts, Entertainment and recreation",45
2013,"Arts, Entertainment and recreation",37
2014,"Arts, Entertainment and recreation",36
2015,"Arts, Entertainment and recreation",38
2016,"Arts, Entertainment and recreation",39
2017,"Arts, Entertainment and recreation",31
2018,"Arts, Entertainment and recreation",32
2019,"Arts, Entertainment and recreation",32
1998,Tourism and security services,21
1999,Tourism and security services,23
2000,Tourism and security services,24
2001,Tourism and security services,28
2002,Tourism and security services,29
2003,Tourism and security services,27
2004,Tourism and security services,30
2005,Tourism and security services,34
2006,Tourism and security services,38
2007,Tourism and security services,49
2008,Tourism and security services,50
2009,Tourism and security services,37
2010,Tourism and security services,44
2011,Tourism and security services,46
2012,Tourism and security services,54
2013,Tourism and security services,67
2014,Tourism and security services,81
2015,Tourism and security services,86
2016,Tourism and security services,94
2017,Tourism and security services,87
2018,Tourism and security services,75
2019,Tourism and security services,75
