Year,Series,Value
2021,Home (%),16.1
2021,Work (%),-9.7
2020,Home (%),11.2
2020,Work (%),4.9
2019,Home (%),18.2
2019,Work (%),18.0
2018,Home (%),15.6
2018,Work (%),20.6
2017,Home (%),13.5
2017,Work (%),9.2
2016,Home (%),12.7
2016,Work (%),20.2
2015,Home (%),10.2
2015,Work (%),2.1
2014,Home (%),3.9
2014,Work (%),-2.5
2013,Home (%),10.3
2013,Work (%),1.5
2012,Home (%),5.3
2012,Work (%),3.0
2011,Home (%),1.5
2011,Work (%),0.7
2010,Home (%),9.3
2010,Work (%),0.5
2009,Home (%),6.5
2009,Work (%),-1.7
2008,Home (%),5.0
2008,Work (%),15.6
2007,Home (%),8.1
2007,Work (%),17.3
2006,Home (%),7.3
2006,Work (%),17.2
2005,Home (%),12.8
2005,Work (%),14.1
2004,Home (%),20.9
2004,Work (%),20.5
2003,Home (%),11.3
2003,Work (%),15.0
2002,Home (%),9.9
2002,Work (%),18.0
2001,Work (%),10.8
2000,Work (%),9.6
1999,Work (%),12.3
1998,Work (%),14.3
1997,Work (%),8.3
