Year,Production/Services,Industry Sector,Industry Sub Category,Value
1998,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.38
1999,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.39
2000,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.44
2001,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.24
2002,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.39
2003,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.49
2004,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.41
2005,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.43
2006,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.46
2007,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.25
2008,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.3
2009,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.62
2010,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.82
2011,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.0
2012,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.16
2013,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.54
2014,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.67
2015,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.69
2016,Production sector,"Agriculture, mining, electricity, gas, water and waste",,3.48
2017,Production sector,"Agriculture, mining, electricity, gas, water and waste",,3.91
2018,Production sector,"Agriculture, mining, electricity, gas, water and waste",,3.62
1998,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.47
1999,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.05
2000,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.15
2001,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.08
2002,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.08
2003,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.95
2004,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.67
2005,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.76
2006,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.65
2007,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.75
2008,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.51
2009,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.3
2010,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.27
2011,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.18
2012,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.43
2013,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.73
2014,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.46
2015,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.51
2016,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.53
2017,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.36
2018,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.46
1998,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.45
1999,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",7.14
2000,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.61
2001,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.07
2002,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.12
2003,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.94
2004,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.94
2005,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.81
2006,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.83
2007,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.93
2008,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.75
2009,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",4.72
2010,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",4.83
2011,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.18
2012,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",4.71
2013,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.23
2014,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.64
2015,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.72
2016,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.53
2017,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.7
2018,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.83
1998,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.25
1999,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.21
2000,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.99
2001,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.14
2002,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.59
2003,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.07
2004,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.05
2005,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.21
2006,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.25
2007,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.0
2008,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.15
2009,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",1.95
2010,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",1.82
2011,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",1.9
2012,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.16
2013,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.08
2014,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.06
2015,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",1.92
2016,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.25
2017,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.1
2018,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",1.68
1998,Production sector,Manufacturing,"Other manufacturing, repair and installation",1.05
1999,Production sector,Manufacturing,"Other manufacturing, repair and installation",1.03
2000,Production sector,Manufacturing,"Other manufacturing, repair and installation",1.09
2001,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.98
2002,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.82
2003,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.72
2004,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.67
2005,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.62
2006,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.56
2007,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.53
2008,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.54
2009,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.6
2010,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.51
2011,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.52
2012,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.54
2013,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.54
2014,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.64
2015,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.78
2016,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.57
2017,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.61
2018,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.49
1998,Production sector,Manufacturing,,13.04
1999,Production sector,Manufacturing,,13.33
2000,Production sector,Manufacturing,,12.67
2001,Production sector,Manufacturing,,12.05
2002,Production sector,Manufacturing,,11.53
2003,Production sector,Manufacturing,,11.57
2004,Production sector,Manufacturing,,11.26
2005,Production sector,Manufacturing,,10.33
2006,Production sector,Manufacturing,,10.21
2007,Production sector,Manufacturing,,10.14
2008,Production sector,Manufacturing,,9.91
2009,Production sector,Manufacturing,,8.47
2010,Production sector,Manufacturing,,8.39
2011,Production sector,Manufacturing,,8.77
2012,Production sector,Manufacturing,,8.8
2013,Production sector,Manufacturing,,9.55
2014,Production sector,Manufacturing,,10.81
2015,Production sector,Manufacturing,,10.92
2016,Production sector,Manufacturing,,10.85
2017,Production sector,Manufacturing,,10.98
2018,Production sector,Manufacturing,,10.46
1998,Production sector,,,15.19
1999,Production sector,,,15.51
2000,Production sector,,,14.9
2001,Production sector,,,14.09
2002,Production sector,,,13.73
2003,Production sector,,,18.04
2004,Production sector,,,17.46
2005,Production sector,,,12.57
2006,Production sector,,,12.5
2007,Production sector,,,12.21
2008,Production sector,,,11.27
2009,Production sector,,,9.95
2010,Production sector,,,10.1
2011,Production sector,,,10.66
2012,Production sector,,,10.88
2013,Production sector,,,12.09
2014,Production sector,,,13.44
2015,Production sector,,,13.58
2016,Production sector,,,14.33
2017,Production sector,,,14.89
2018,Production sector,,,14.12
1998,Services sector,Construction,,10.16
1999,Services sector,Construction,,9.49
2000,Services sector,Construction,,9.26
2001,Services sector,Construction,,9.0
2002,Services sector,Construction,,9.57
2003,Services sector,Construction,,9.31
2004,Services sector,Construction,,9.73
2005,Services sector,Construction,,9.81
2006,Services sector,Construction,,7.62
2007,Services sector,Construction,,9.51
2008,Services sector,Construction,,8.94
2009,Services sector,Construction,,9.1
2010,Services sector,Construction,,9.23
2011,Services sector,Construction,,9.51
2012,Services sector,Construction,,6.68
2013,Services sector,Construction,,6.39
2014,Services sector,Construction,,6.38
2015,Services sector,Construction,,7.16
2016,Services sector,Construction,,7.41
2017,Services sector,Construction,,8.88
2018,Services sector,Construction,,7.39
